,names_2,link_CU,research_interest,pernames,subfaculty,faculty
104,Emma Eyre,https://pureportal.coventry.ac.uk/en/persons/emma-eyre,"Research Interests: Exergaming; Sport science; Sport medicine; Exercise science; Body composition; Physical activity; Exercise physiology; School interventions; Exercise intervention; Environmental influences; Ethnicity and socioeconomic disparities; Socio – economic and environmental influences on health behaviours.; Ethnic differences in body adiposity, physical activity, fitness and HRV.; Paediatric exercise physiology – physical activity and fitness in prevention of cardiovascular and metabolic health.",Emma Eyre,School of Life Sciences,Faculty of Health & Life Sciences
105,Yueping Fang,https://pureportal.coventry.ac.uk/en/persons/yueping-fang,Research Interests: Developed finite element (FEM) and finite volume models (FVM) to simulate thermal and optical performance of advanced glazing systems and building façade;Experimental validations for the FEM/FVM;Nonimaging optics design for light transfer with maximum efficiency and solar concentrator design;Simulation and experimental validation for energy efficiency in building fenestration systems;Advanced glazing system design;Thermoelectric generator (TEG) application in building fenestration and other energy systems. I am leading the research and lead the patent of TEG application.,Yueping Fang,"School of Energy, Construction and Environment","Faculty of Engineering, Environment & Computing"
106,Soroush Faramehr,https://pureportal.coventry.ac.uk/en/persons/soroush-faramehr,"Research Interests: His research interest lies in more efficient compound semiconductor electronic devices driven by automotive, space, aerospace, renewables and industrial electronics sectors to leave less footprint on the environment. They include wide bandgap power semiconductor devices, wide bandgap current transducers, ultra-wide bandgap materials and vertical field effect transistors.",,,
107,Miguel Farias,https://pureportal.coventry.ac.uk/en/persons/miguel-farias,Research Interests: Social cognition; Psychology of belief; Personality and mental health,,,
108,Michelle Farrell,https://pureportal.coventry.ac.uk/en/persons/michelle-farrell,"Research Interests: My main research interest is in human-environment relationships during the Holocene, particularly in landscapes that are today considered marginal for human settlement, and especially on islands. I am also interested in the application of pollen dispersal and deposition models and Geographical Information Systems (GIS) to quantitative reconstruction of past vegetation cover and cultural landscapes. I am currently working on four main projects.
 
1) Palaeoenvironments of the Maltese Islands
The ERC-funded FRAGSUS (fragility and sustainability in restricted island environments: adaptation, culture change and collapse in prehistory) project, led by Caroline Malone (Queen’s University Belfast), takes an interdisciplinary approach to the study of the Neolithic Temple Culture of the Maltese Islands. The Maltese Temple Culture flourished between c. 3600 and c. 2350 BC and is characterised by highly elaborate megalithic architecture and figurative artwork. It is currently unclear how these small, relatively isolated, resource-poor islands were able to support such a complex society for over a millennium. Existing palaeoenvironmental evidence indicates that early Holocene woodland began to be cleared before 5500 BC, and subsequent land-use during the Neolithic consisted of both crop cultivation and animal husbandry. Archaeological data suggest a possible ‘collapse’ occurring at around 2350 BC, but currently there is no clear explanation for this event. My role within the project is to contribute to the reconstruction of prehistoric environments in the Maltese Islands by undertaking palynological analysis of sediment cores retrieved from several locations. I am also researching modern pollen-vegetation relationships in Malta in order to understand potential taphonomic biases within the palynological data, and have carried out fieldwork in Sicily with the aim of obtaining estimates of relative pollen productivity which can be used to produce quantitative reconstructions of past vegetation cover and land-use in Malta.
 
2) Reconstruction of Neolithic cultural landscapes
The ERC-funded Times of Their Lives project, led by Alasdair Whittle (Cardiff University) and Alex Bayliss (Historic England), aims to construct more precise chronologies for the Neolithic period in Europe through the application of formal chronological modelling in a Bayesian statistical framework. My role within ToTL is to apply quantitative methods for reconstruction of landscape setting and land-cover dynamics to existing palynological data from the Somerset Levels and Orkney. Within this sub-project, extant pollen datasets have been collated, age-depth models refined, and the Multiple Scenario Approach to land-cover reconstruction is being undertaken in order to create maps of possible past vegetation mosaics in these important cultural landscapes for key time slices. Analysis of these reconstructions allows us to consider the extent to which activity within these landscapes might be expected to be detectable in existing pollen records, and provides a context for improved understanding of the cultural reshaping of these iconic landscapes during the Neolithic.
 
3) Estimates of relative pollen productivity
A key goal of palynologists since the earliest days of the discipline has been the quantitative reconstruction of past vegetation abundance. Empirical estimates of relative pollen productivity (RPP) extracted from measurements of modern pollen assemblages and vegetation cover are an essential pre-requisite for testing pollen dispersal and deposition models and applying PolLandCal approaches to vegetation reconstruction from pollen signals, such as the Landscape Reconstruction Algorithm or the Multiple Scenario Approach. A fundamental assumption of most pollen analytical work, whether quantitative or qualitative, is that RPP can be treated as a constant for a given pollen morphotype regardless of climate or habitat. A wide range of values for single taxa have been reported from different studies, but since each study used a different methodology, it is not possible to determine whether the assumption is in error, or whether the different methods used have led to systematically different values. Research undertaken as part of the Crackles Bequest Project developed and applied a standardised methodology for obtaining estimates of RPP for common taxa in several different habitats at multiple locations in north-west Europe, allowing the assumption of constant RPP to be tested.
 
4) Orcadian palaeoenvironments
My PhD research utilised pollen analysis and a suite of allied techniques to explore concepts of marginality and anthropogenic responses to changing environmental conditions in prehistoric Orkney. Since completing my Ph.D. I have maintained my interest in Orcadian palaeoenvironments and am currently collaborating on the “Bay of Ireland Palaeolandscape Assessment”, funded by the Carnegie Trust and led by Scott Timpany (University of the Highlands and Islands, Orkney College). This project takes a holistic approach to the investigation of landscape change in Orkney over a period of approximately 7000 years, from the Mesolithic to the Bronze Age, by analysing a section of landscape which incorporates the dryland, intertidal and marine zones. The interdisciplinary approach will provide data on changing sea-levels, climate and landscape, and information relating to sustainability and resilience of prehistoric communities in their interactions with the changing landscape will add significant depth to our understanding of prehistoric Orkney. It is hoped that the results will also be applicable to sites elsewhere in the UK and northern Europe.",Michelle Farrell,"School of Energy, Construction and Environment","Faculty of Engineering, Environment & Computing"
109,Alireza Fathollahi,https://pureportal.coventry.ac.uk/en/persons/alireza-fathollahi,"Research Interests: 




Fate and Transport of Contaminants
Environmental Chemistry
Polluted Runoff Remediation
Material Science
Leaching Behaviour of Novel Materials
Sustainable Drainage System (SUDS)
Soil and Groundwater Remediation
Environmental Geo-Chemistry 

Geochemical and Biological Processes 

Waste Management and Remediation

Life Cycle Assessment (LCA)

Geo-Environmental Engineering 




",,,
110,Xiang Fei,https://pureportal.coventry.ac.uk/en/persons/xiang-fei,Research Interests: (Wireless) Internetworking; Middleware for WSN (Wireless Sensor Networks); Packet Scheduling for (Wireless) Internetworking,Xiang Fei,"School of Computing, Electronics and Maths","Faculty of Engineering, Environment & Computing"
111,Teresa Ferraz-da-Silva,https://pureportal.coventry.ac.uk/en/persons/teresa-ferraz-da-silva,"Research Interests: Group Offending; Prevention and treatment programmes for different types of offenders; Juvenile offending and risk taking, particularly violent and sexual offending.; Sexual offending, particularly offences committed by juveniles and multiple perpetrators (duos and 3+groups), cross-cultural comparisons and juvenile/adult comparisons.",Teresa Ferraz-da-Silva,"School of Psychological, Social and Behavioural Sciences",Faculty of Health & Life Sciences
112,Jennifer Ferreira,https://pureportal.coventry.ac.uk/en/persons/jennifer-ferreira,Research Interests: Coffee and coffee shop industry; Sustainability; Circular Economy; Labour Markets; Economic Geography; Economic Development;  Urban change; Flexible employment; Precarious employment,Jennifer Ferreira,Faculty Research Centre for Business in Society,Faculty of Business & Law
113,Mathias Foo,https://pureportal.coventry.ac.uk/en/persons/mathias-fui-lin,"Research Interests: Modelling of Dynamical Systems System Identification and Network InferenceApplication of Control Engineering to Biological, Medical and Industrial ProblemsSystems and Synthetic Biology",Mathias Foo,Institute for Future Transport and Cities,"Faculty of Engineering, Environment & Computing"
114,Gemma Foster,https://pureportal.coventry.ac.uk/en/persons/gemma-foster,Research Interests: Bumblebees; Biodiversity; Citizen science; Managed honeybees; Wild and managed bees; Garden food production; Organic growing systems,,,
115,Steve Foster,https://pureportal.coventry.ac.uk/en/persons/steve-foster,Research Interests: Human Rights; Civil Liberties; Prisoners’ Rights; Constitutional Law; Administrative Law; Academic Writing Skills,Steve Foster,School of Law,Faculty of Business & Law
116,Emily Fulton,https://pureportal.coventry.ac.uk/en/persons/emily-fulton,Research Interests: Dementia; Veteran's mental health; Cognitive behavioural therapy; Behaviour change interventions,Emily Fulton,Faculty of Health & Life Sciences,Faculty of Health & Life Sciences
117,Nikolaos Fytas,https://pureportal.coventry.ac.uk/en/persons/nikolaos-fytas,"Research Interests: Condensed Matter Physics
; Materials Science/Nanotechnology
; Soft Matter/Polymers/Liquid Crystals
; Statistical Mechanics/Disordered Systems
; Computational Methods in Physics/Optimization Problems",Nikolaos Fytas,Faculty Research Centre in Fluid and Complex Systems,"Faculty of Engineering, Environment & Computing"
118,"Alfred Gand, FHEA FFB A.M.ASCE",https://pureportal.coventry.ac.uk/en/persons/alfred-gand,"Research Interests: My research focuses on the development of modern construction methodologies using low impact material Fibre Reinforced Polymer (FRP) hybrid systems. FRP structural systems continue to prove to be an efficient and durable alternative to conventional steel and concrete. The primary profile material is manufactured economically by pultrusion. At Coventry University, I am one of the few key research contacts for pultruded FRP research since September 2012 and closely work with teams at University of Warwick through my part-time doctoral degree programme. My on-going FRP research focuses in key primary areas such as material property characterisation, jointed systems, structural component design, and advanced FRP frames systems.
 Below outline thematic areas of my research:

Pultruded FRP structural novel joint systems, advanced frames and their integrity

Hybrid jointing systems combining FRP, timber, concrete and metallic elements;

Development of novel PFRP-reinforced concrete structural systems, acting compositely;

Sustainable bonded-in FRP rod jointing systems for timber, concrete elements;

Durability of FRP composites looking at ‘accelerated’ aging/hygrothermal effects;

PFRP in space and reciprocally framed structures and integrity systems;

The behaviour of FRP structural systems at elevated temperature.

I have supervised close to 100 research projects/dissertations at UG and PG levels.
Currently, I co-supervise 2 PhD research projects on the developing of novel structural systems using advanced FRP composites:
- Development of pultruded FRP composite columns
- Development of lightweight hybrid floor systems with FRP superstructural elements.
 
 ","Alfred Gand, FHEA FFB A.M.ASCE","School of Energy, Construction and Environment","Faculty of Engineering, Environment & Computing"
119,Alexeis Garcia-Perez,https://pureportal.coventry.ac.uk/en/persons/alexeis-garcia-perez,"Research Interests: Cyber security management and the challenges around data, including privacy and trust, from the perspective of the individual and society;Big data and analytics and its applications as a driver of innovation, strategy development and new business models; and The multiple uses of personal data in the digital economy and its implications and challenges for business.",Alexeis Garcia-Perez,Faculty Research Centre for Business in Society,Faculty of Business & Law
120,Mahda Garmaki,https://pureportal.coventry.ac.uk/en/persons/mahda-garmaki,"Research Interests: Organizational capabilityBig Data Analytics CapabilityDigital Transformation and Digital CapabilitiesResponsible Innovation in IS
 ",Mahda Garmaki,School of Strategy and Leadership,Faculty of Business & Law
121,Zoe Gazeley-Eke,https://pureportal.coventry.ac.uk/en/persons/zoe-gazeley-eke,"Research Interests: Zoe is a PhD candidate at Coventry University where she is exploring the need for an ESAP (English for Specific Academic Purposes) pedagogy and materials development for International Fashion students.
Teacher Development in EFL/EAP; Digital Literacy in the EAP classroom ; Materials Design for Specific Academic Purposes ; Developing Intercultural Communicative Competence in Language Learning",Zoe Gazeley-Eke,School of Humanities,Faculty of Arts & Humanities
122,Suresh George,https://pureportal.coventry.ac.uk/en/persons/suresh-george,"Research Interests: Resources-based view of states
; Linkages in International business; Geopolitical context of doing business; Rising powers and business strategies
; E-learning tools in international business; Teaching apps and mobile learning platforms; India and China in the extractive industries",Suresh George,School of Strategy and Leadership,Faculty of Business & Law
123,Darryl Georgiou,https://pureportal.coventry.ac.uk/en/persons/darryl-georgiou,"Research Interests: Contemporary Art, live art, media art and phonic art. Art in the city, art as text, artists’ moving image, photography, multi-media, new technologies and interactive art; curation, gallery interpretation, site-sensitive installation, socially engaged practice, psychogeography, private and public archives, systems of collection and re-presentation.",Darryl Georgiou,School of Art and Design,Faculty of Arts & Humanities
124,Simon Gerard,https://pureportal.coventry.ac.uk/en/persons/simon-gerard,"Research Interests: My research primarily focuses on Organisation and Management Theory (OMT) with a particular interest for Institutional Theory and Stakeholder Theory. I aim to unpack mechanisms by which institutions and organisations can contribute to social oppression but also social empowerment of marginalised groups, in particular disabled people. I also research how and why organisations change over time especially in the sector of sport and how it impacts organisational performance and practices. Overall I wish to suggest effective solutions to develop a more inclusive economy and society. I have published articles on institutional change and institutional entrepreneurship in various journals and authored chapters in several academic books such as the Routledge Handbook of Football Business and Management, the Management global du sport or Research Handbook on Sports Governance. I have presented multiple papers in prestigious international conferences, such as the European Academy of Management (EURAM), European Group for Organisation in Studies (EGOS) and the European Association for Sport Management (EASM). 
Research Interests: Sport Governance, Institutional change, Historical and Management aspect of Disability and Paralympic Sports",Simon Gerard,School of Marketing and Management,Faculty of Business & Law
125,Evangelos Gkanas,https://pureportal.coventry.ac.uk/en/persons/evangelos-gkanas,Research Interests: BioEngineering; Hydrogen Storage; Material Science; Renewable Energy; Hydrogen Production; Fuel Cell Technology,,,
126,Tom Gorman,https://pureportal.coventry.ac.uk/en/persons/tom-gorman,"Research Interests: Directing ; Robert Wilson ; Actor-Training ; Bertolt Brecht ; Thornton Wilder ; American Theatre ; Renaissance Theatre ; Theatre History and Theory ; Contemporary Irish Theatre ; Early 20th Century German Theatre, Telepresence, Distance Learning, Virtual Mobility",Tom Gorman,School of Media and Performing Arts,Faculty of Arts & Humanities
127,Luke Graham,https://pureportal.coventry.ac.uk/en/persons/luke-graham,"Research Interests: Broadly, my main research interest is in International Human Rights Law. More specifically, I focus on Economic, Social, and Cultural Rights. My current research considers Economic, Social, and Cultural Rights alongside destitution. This has led to some overlap into the spheres of Sustaining Peace and International Criminal Law. As well as this, I have recently been exploring the Right to Clothing. I utilise a Socio-Legal Approach to the Law and aim to integrate knowledge from a variety of disciplines into my own research. ",Luke Graham,School of Law,Faculty of Business & Law
128,Benoit Granier,https://pureportal.coventry.ac.uk/en/persons/benoit-granier,"Research Interests: Electroacoustic Music compositionMusic Composition Intercultural dialogueMusitculturalism in the arts Music, culture and traditionSonic ArtSound SpatialisationAesthetics and analysis of contemporary musicMusic business, enterpreneurship in the arts",Benoit Granier,School of Media and Performing Arts,Faculty of Arts & Humanities
129,Rebecca Grant,https://pureportal.coventry.ac.uk/en/persons/rebecca-grant,Research Interests: Human Factors ; Occupational Psychology; Human behaviour ; Transport safety ; Passenger safety ; Aircraft cabin safety ; Transport human factors ; Human System Integration ; Aircraft ground handling,Rebecca Grant,"School of Mechanical, Aerospace and Automotive Engineering","Faculty of Engineering, Environment & Computing"
130,John Graves,https://pureportal.coventry.ac.uk/en/persons/john-graves,"Research Interests: Sonochemistry
; Smart Materials; Nano Technology
; Metal Deposition
; Electrochemistry
; Particle Dispersion; Printed Electronics",,,
131,Stacie Gray,https://pureportal.coventry.ac.uk/en/persons/stacie-gray,"Research Interests: My current research interests are focused compliance theory, with a particular focus upon how compliance is achieved within international regimes. ",Stacie Gray,School of Marketing and Management,Faculty of Business & Law
132,Brendan Greaney,https://pureportal.coventry.ac.uk/en/persons/brendan-greaney,"Research Interests: Brendan's main research interests include Dyslexia in Nursing, Online International Learning and Sepsis recognition by nurses and other Allied Healthcare Professionals and has presented internationally at a number of conferences on these subjects including Hong Kong, China and Canada.",Brendan Greaney,Faculty of Health & Life Sciences,Faculty of Health & Life Sciences
133,John Grima,https://pureportal.coventry.ac.uk/en/persons/john-grima,"Research Interests: The British Far Right
; American history and politics
; Comparative government and politics
; The history of the Far Right in Western Europe",John Grima,School of Humanities,Faculty of Arts & Humanities
134,Olivier Haas,https://pureportal.coventry.ac.uk/en/persons/olivier-haas,"Research Interests: Intelligent transportation systems, agent technology, semantic web, service oriented architecture; The application of systems modelling, control and imaging techniques to medical and industrial domains",,,
135,Saeid Hadidimoud,https://pureportal.coventry.ac.uk/en/persons/saeid-hadidi-moud,Research Interests: Residual stresses; Mechanics of Materials; Fracture and Damage Mechanics; Structural Integrity Assessment; Fatigue Life / Damage Tolerance; Finite Element Analysis /Modelling,Saeid Hadidimoud,"School of Mechanical, Aerospace and Automotive Engineering","Faculty of Engineering, Environment & Computing"
136,Ahmadreza Hakiminejad,https://pureportal.coventry.ac.uk/en/persons/ahmadreza-hakiminejad,Research Interests: Politics of Space; Urban Sociology; History and Theory; Urban and Architectural Design,Ahmadreza Hakiminejad,"School of Energy, Construction and Environment","Faculty of Engineering, Environment & Computing"
137,Michael Hardy,https://pureportal.coventry.ac.uk/en/persons/michael-hardy,"Research Interests: The imperative of Intercultural dialogue; The Development of a European Index of Social Integration  
; The impact of Foreign Policy Interventions on domestic cohesion",,,
138,Donald Harris,https://pureportal.coventry.ac.uk/en/persons/donald-harris,Research Interests: Human Factors; Human-System Integration,Donald Harris,"Faculty of Engineering, Environment & Computing","Faculty of Engineering, Environment & Computing"
139,Lesley Harrison,https://pureportal.coventry.ac.uk/en/persons/lesley-harrison,Research Interests: Public Mental HealthPsychosis and TraumaAttachmentCognitive Functioning,Lesley Harrison,"School of Psychological, Social and Behavioural Sciences",Faculty of Health & Life Sciences
140,Elly Harrowell,https://pureportal.coventry.ac.uk/en/persons/elly-harrowell,Research Interests: Urban geography; Collective Memory; Natural resource governance; Post-conflict reconstruction; post-disaster reconstruction; Kyrgyzstan; Central Asia.,,,
141,Fei He,https://pureportal.coventry.ac.uk/en/persons/fei-he,"Research Interests: Computational Neuroscience - Nonlinear systems identification, Signal processing and Causality analysis
NARMAX model-based nonlinear frequency analysis & causality analysisNonlinear time-frequency modelling and diagnosis of neurological disorders (e.g. seizures, Alzheimer’s disease) based on neurophysiological recordings: EEG, EMG, fMRI
Computational Systems Biology
Bayesian inference for parameter estimation and model selectionOptimal and Bayesian model-based experimental designNetwork inference for complex biochemical regulatory pathways",Fei He,Faculty Research Centre for Data Science,"Faculty of Engineering, Environment & Computing"
142,Qile He,https://pureportal.coventry.ac.uk/en/persons/qile-he,"Research Interests: Inter-firm alliances and partnerships;
Innovation strategies and processes of organizations;
Sustainable and responsible business;
Supply chain optimization;",Qile He,Faculty of Business & Law,Faculty of Business & Law
143,James Henry,https://pureportal.coventry.ac.uk/en/persons/james-henry,"Research Interests: Corpus Linguistics
; Genre Analysis in Academic English
; Materials Design for Specific Academic Purposes",James Henry,School of Humanities,Faculty of Arts & Humanities
144,Anuradha Herath,https://pureportal.coventry.ac.uk/en/persons/anuradha-herath,"Research Interests: Additive manufacturing, Electrodeposition, Length scale engineering",,,
145,Sebastian Hicks,https://pureportal.coventry.ac.uk/en/persons/sebastian-hicks,"Research Interests: In-depth knowledge of Hi-tech sustainable materials, lightweight structures including cutting edge product development and implementation through advanced production techniques. Specialist knowledge and experience of low-tech solutions developed for contemporary contexts in areas of scarce resource.
Diverse range of professional engagement with the shaping of the built environment in a range of urban and rural settings and a range of scales including retro-fit, remodelling, capacity building, procurement methods and energy production. Competition Success in the field of sustainable housing. Multiple projects realised in the field of sustainable design.
Experience of diverse cultural contexts .Wide experience in the field of Humanitarian Engineering in a global contemporary society. Research experience in the Global South related to Material Technologies and Culture.
 
 ",Sebastian Hicks,School of Art and Design,Faculty of Arts & Humanities
146,Shaun Hides,https://pureportal.coventry.ac.uk/en/persons/shaun-hides,"Research Interests: Ethnoarchaeology, research methods, ethonogrpahic anthroplogical approaches, media and cultural theory; Cultural and Media theory focused on the cultural location/meaning and politics of technology - postmaterialism; Material cultures - especially objects and possessions which mark out personal, historical and cultural identities; The connections between innovations in media (open/disruptive media) - and innovative radical pedagogies in Higher Education",Shaun Hides,Faculty of Arts & Humanities,Faculty of Arts & Humanities
147,Charley Hill-Butler,https://pureportal.coventry.ac.uk/en/persons/charley-hill-butler,"Research Interests: The use of satellite remote sensing to monitor earth surface processes, particularly natural hazards and hazard interactions. This has focused on the use of thermal remote sensing to analyse and model the relationship between earthquakes and volcanoes at a global scale. More broadly, I am interested in methods of monitoring natural hazards using satellite remote sensing including both applications of thermal and radar technologies. ",Charley Hill-Butler,"School of Energy, Construction and Environment","Faculty of Engineering, Environment & Computing"
148,Diana Hintea,https://pureportal.coventry.ac.uk/en/persons/diana-hintea,Research Interests: Internationalisation; Enhancing teaching and learning student experience; Research in the areas of Machine Learning and Artificial Intelligence,Diana Hintea,"School of Computing, Electronics and Maths","Faculty of Engineering, Environment & Computing"
149,Emma Holdsworth,https://pureportal.coventry.ac.uk/en/persons/emma-holdsworth,"Research Interests: Offender rehabilitation, strengths-based approaches to the treatment of offenders, Criminal Justice Processes",Emma Holdsworth,"School of Psychological, Social and Behavioural Sciences",Faculty of Health & Life Sciences
150,Susanne Horn,https://pureportal.coventry.ac.uk/en/persons/susanne-horn,Research Interests: astrophysical and geophysical fluid dynamicsRayleigh-Bénard convectionturbulencerotating flowscoherent structuresboundary layersnon-Oberbeck-Boussinesq effectsreduced-order modelling and mode decompositionsnumerical methods,Susanne Horn,Faculty Research Centre in Fluid and Complex Systems,"Faculty of Engineering, Environment & Computing"
151,Nadjim Horri,https://pureportal.coventry.ac.uk/en/persons/nadjim-horri,"Research Interests: My research interests include:
- Fault detection, estimation, isolation and recovery for aircraft control.
- Flight envelope protection using gain scheduling and MPC type approaches.
- Autonomous coordinated control of UAV formations.
- Sensor fusion using EKF/particle filter type estimation methods.
- Satellite attitude control in the presence of actuator constraints and failures
- System identification for aircraft and pilot in the loop modelling.
- Robust aircraft control in the presence of flexible modes
- Optimal aircraft path planning
- Control allocation and dynamical modelling for New UAV concepts such as ducted fan UAVs 
Funded research project work:
- Innovate UK project Assured Parking (ParkIt) with Horiba Mira, 2019-2020, with a focus on autonomous path planning and control, led by Dr Olivier Haas.
- Consultancy for AIBN on an air incident investigation, with Dr Mike Bromfield, 2018.
https://www.aibn.no/Luftfart/Avgitte-rapporter/2020-03-eng
- Consultancy on ducted fan UAV investigation for AIE-UK, Pii (Performance Improvement Initiative), funded by the EU regional Development Fund, led by Ivan Arokiam, 2014-15.
- EPSRC funded project AAReST (Reconfigurable space telescope), at Surrey Space Centre, University of Surrey, with a focus on guidance, navigation anc control, led by Professor Craig Underwood, 2011-2012.
- STFC funded STRaND 2 satellite formation project with a focus on guidance, navigation and control for in orbit inspection, 2012, led by Craig underwood.
- EU funded Marie Curie Astornet Research Training Network project ASTRONET, a project led by the University of Surrey with Professor Mark Roberts as PI and Professor Phil Palmer line managing my project on low computational optimal control of spacecraft, 2007-2010.
PhD completions:
- Nicolas Merlinge, State estimation and trajectory planning using box particle kernels, Cotutelle PhD between Coventry University and Onera/Paris Saclay University in France. Co-supervised at Coventry University with Director of Studies James Brusey. 2018.
- Encarnacion Serrano Castillo, Nonlinear approaches to attitude control using mechanical and magnetic actuation, in collaboration with director of studies Professor Fabrizio Giuliette from Bologna University (Erasmus Partner). This included a 6 months echange when the student was under my regular supervision at Coventry University, 2017.
- Lawrence Oyedeji Inumoh, Tilted Wheel: 3 DoF Torque Generation for Three Axis Control of a Rigid Satellite. University of Surrey, cosupervised with Dr Alexandre Pechev and Professor Vaios Lappas, 2013.
PhDs under current co-supervision
- Enzo Iglésis, Multimode navigation and control for degraded UAV operation under sensor and actuator faults, 24/09/18 → …
- Thomas Oliver Milward, Novel Sensing for Angle of Attack (AOA) Systems, 16/01/17 → …
- Osita Nnanna Ugwueze: e-VTOL Concept Vehicle 22/01/18 → …
- Samuel Benedict Everett, Human Centred Design of Angle of Attack (AoA) Systems, 19/09/16 → …
- Floris Wolfert, The effects of haptic feedback on pilot performance and workload, 25/09/17 → …
Publications: 
44 publications including 11 Q1 journal papers, Currently 400 citations on Google Scholar: https://scholar.google.co.uk/citations?user=WKQHYnQAAAAJ&hl=en",Nadjim Horri,"School of Mechanical, Aerospace and Automotive Engineering","Faculty of Engineering, Environment & Computing"
152,Cherisse Hoyte,https://pureportal.coventry.ac.uk/en/persons/cherisse-hoyte,"Research Interests: My main research interests include entrepreneurial opportunity development, entrepreneurship education and entrepreneurial sensemaking with a particular interest in process and temporality.
I am also interested in gendered discourses of entrepreneurship. I am currently working on a couple of projects:
Entrepreneurial Identity formation among nascent entrepreneurs Women in Executive Leadership positions transcending gendered norms of leadership.",Cherisse Hoyte,International Centre for Transformational Entrepreneurship,Faculty of Business & Law
153,Nazmul Huda,https://pureportal.coventry.ac.uk/en/persons/nazmul-huda,"Research Interests: Robotics for medical applications, capsule robots, control systems, autonomous navigation of quadrotors, self-driving cars etc.",Nazmul Huda,"Faculty of Engineering, Environment & Computing","Faculty of Engineering, Environment & Computing"
154,Sundas Hussain,https://pureportal.coventry.ac.uk/en/persons/sundas-hussain,"Research Interests: Research interests include: female and ethnic minority entrepreneurship, intersectionality, inclusive entrepreneurship, entrepreneurial growth, entrepreneurial context, sustainable entrepreneurship, and environmental entrepreneurship.",Sundas Hussain,School of Strategy and Leadership,Faculty of Business & Law
155,Thanh Huynh,https://pureportal.coventry.ac.uk/en/persons/thanh-huynh,"Research Interests: Thanh is accepting PhD students who are interested in those research areas:
Technology EntreprenuershipCrowdfundingOpen ResourcesDigital InnovationOpen InnovationEntrepreneurial Marketing (Digital Marketing)
Others",Thanh Huynh,Faculty Research Centre for Financial & Corporate Integrity,Faculty of Business & Law
156,Durukan Imrie-Kuzu,https://pureportal.coventry.ac.uk/en/persons/durukan-imrie-kuzu,Research Interests: Human Rights Law; Multiculturalism; Egalitarian Liberalism; Ethnicity and Nationalism; Corsica and the Kurdish Question,,,
157,Mauro Innocente,https://pureportal.coventry.ac.uk/en/persons/mauro-innocente,"Research Interests: His research is concerned with algorithm developments in Particle Swarm Optimisation, and with the development of soft and natural computing, mathematical modelling, control, and optimisation tools within a comprehensive spectrum of applications such as fire propagation modelling, thermal modelling, optimal design of power converters, structural analysis and design, swarm robotics applied to firefighting, and autonomous AI-enabled UAVs for predictive maintenance. Examples are:
Adaptive general-purpose Particle Swarm Algorithm.Adaptive Surrogate Modelling & Optimisation (ASMO) of problems described by real or synthetic data.Simulation-based optimal design tool for power-dense converters using efficient physics-based models.Mathematical modelling of wildfire propagation.Self-organising swarms of autonomous firefighting drones.Efficiency enhancement of class-A foams by means of nanoparticles to improve performance of firefighting drones.Autonomous AI-enabled UAVs for predictive maintenance.",,,
158,Rahat Iqbal,https://pureportal.coventry.ac.uk/en/persons/rahat-iqbal,"Research Interests: Big Data Analytics, Internet of Things (IoT), Information Retrieval, Computer Vision, Artificial Intelligence and Energy Efficient Communication Protocols.",,,
159,Vahid Jafari-Sadeghi,https://pureportal.coventry.ac.uk/en/persons/vahid-jafari-sadeghi,"Research Interests: Vahid's research interest includes strategies in international entrepreneurship which incorporate small and medium-sized enterprises internationalisation, new venture creation and gender entrepreneurship. In his recent research, Vahid has stressed on the institutional and organisational perspectives international entrepreneurship. He has taken advantage of different qualitative tools such as interviews and quantitative analysis including regressions, structural modelling etc.",Vahid Jafari-Sadeghi,Faculty Research Centre for Business in Society,Faculty of Business & Law
160,Djordje Jakovljevic,https://pureportal.coventry.ac.uk/en/persons/dorde-jakovljevic,"Research Interests: Development, evaluation and implementation of novel interventions and technologies to improve prevention, diagnosis and management of cardiovascular diseases. Our research has particularly focused on heart failure, from improving diagnosis and rehabilitation, to treatment and recovery of advanced heart failure using mechanical circulatory support. The research has further improved understanding of cardiovascular physiological and molecular changes with ageing and their malleability with lifestyle (physical activity and exercise) and pharmacological interventions to prevent onset of cardiovascular and metabolic diseases.   ",Djordje Jakovljevic,"Faculty Research Centre for Sport, Exercise and Life Sciences",Faculty of Health & Life Sciences
161,Rob James,https://pureportal.coventry.ac.uk/en/persons/rob-james,"Research Interests: Thermal physiology of skeletal muscle; Drug induced changes in myocardial performance; Trade-offs between sprint and endurance performance; Effects of body size on skeletal muscle performance; Effects of ageing, diet and activity on skeletal muscle performance; Effects of temperature on locomotor and skeletal muscle performance
; Ageing related changes in whole body and isolated muscle performance
; Usage of caffeine as an ergogenic aid to improve whole body and isolated muscle performance
; Effects of natural periods of hypometabolism (aestivation and hibernation) on muscle performance; Effects of natural periods of reduced metabolism (hibernation and aestivation) on skeletal muscle performance",Rob James,"Faculty Research Centre for Sport, Exercise and Life Sciences",Faculty of Health & Life Sciences
162,Vit Janik,https://pureportal.coventry.ac.uk/en/persons/vit-janik,Research Interests: Physical metallurgy and characterisation of engineering metals and alloys. Control of the microstructural response of materials during thermal and thermo-mechanical processing to improve materials strength and formability. Development of characterisation methods to monitor transient stages of processing of advanced high strength steels and light alloys. Fundamentals of formability of engineering materials.,,,
